Model,Fold,MAE,RMSE,R2
SJ-Spiking-MultiStep,1,1.430819034576416,2.797523636432573,0.970768392086029
SJ-Spiking-MultiStep,2,1.022644281387329,1.3775863598235767,0.9888584017753601
SJ-Spiking-MultiStep,3,2.353590726852417,2.939615664629869,0.9307339191436768
SJ-Spiking-MultiStep,4,1.0567145347595215,1.538630081077874,0.9921590089797974
SJ-Spiking-Attention,1,4.863008975982666,7.252845468850107,0.803518533706665
SJ-Spiking-Attention,2,3.8001768589019775,4.920287830028063,0.8578681349754333
SJ-Spiking-Attention,3,3.816936492919922,7.931184433830643,0.4957852363586426
SJ-Spiking-Attention,4,3.8288748264312744,5.7298975622796915,0.8912580013275146
SJ-Spiking-Hybrid,1,1.0463323593139648,1.7438429421434154,0.9886415600776672
SJ-Spiking-Hybrid,2,1.2578692436218262,1.9251171769978364,0.9782416820526123
SJ-Spiking-Hybrid,3,2.580228090286255,4.127285873062164,0.8634572625160217
SJ-Spiking-Hybrid,4,0.9257819056510925,1.15145296484244,0.9956086874008179
SJ-Spiking-Simple,1,4.211145401000977,5.377701900847145,0.8919814825057983
SJ-Spiking-Simple,2,2.5982837677001953,3.522714071165166,0.9271439909934998
SJ-Spiking-Simple,3,4.637220859527588,6.071371292998099,0.7045302391052246
SJ-Spiking-Simple,4,2.9878897666931152,3.945207107193784,0.9484483003616333
SJ-LSM,1,3.8581326007843018,5.825507591299583,0.8732428550720215
SJ-LSM,2,3.726412296295166,5.2238196687053,0.8397910594940186
SJ-LSM,3,2.472466230392456,3.4161651212195543,0.9064557552337646
SJ-LSM,4,6.82820463180542,12.372194530873076,0.4930127263069153
SJ-Spiking-Dilated,1,1.3856910467147827,1.7252272193641796,0.9888827204704285
SJ-Spiking-Dilated,2,1.8720762729644775,2.1356612522887586,0.9732221961021423
SJ-Spiking-Dilated,3,1.060294508934021,1.2416971546415454,0.9876413345336914
SJ-Spiking-Dilated,4,1.4373730421066284,1.651695178286568,0.9909642934799194
CNN-1D,1,2.271883726119995,3.3741413013060373,0.9574762582778931
CNN-1D,2,1.5712430477142334,2.158602882059436,0.9726437926292419
CNN-1D,3,1.2329150438308716,1.589446671970381,0.9797496795654297
CNN-1D,4,2.525733232498169,3.255136685409423,0.9649052619934082
LSTM,1,1.6232008934020996,2.2873352616821867,0.9804581999778748
LSTM,2,0.9527506232261658,1.523536874513285,0.9863724708557129
LSTM,3,0.857051432132721,1.2449885522553559,0.9875757694244385
LSTM,4,1.5090560913085938,2.3656590125436825,0.9814643263816833
CNN-LSTM,1,1.8354732990264893,3.3236919841889256,0.958738386631012
CNN-LSTM,2,1.3827813863754272,1.9431556479858205,0.977832019329071
CNN-LSTM,3,0.941655158996582,2.5405410921662157,0.9482641220092773
CNN-LSTM,4,1.414442539215088,2.5251211684963515,0.9788812398910522
CNN-DILATED,1,1.3115283250808716,2.2686609382067577,0.9807760119438171
CNN-DILATED,2,2.2753286361694336,5.371214842384974,0.8306225538253784
CNN-DILATED,3,2.4981777667999268,3.2056643956962296,0.9176287651062012
CNN-DILATED,4,1.037612795829773,1.5381387949746932,0.9921640157699585
iTransformer,1,3.2344870567321777,4.3373686756844405,0.9297320246696472
iTransformer,2,2.228024482727051,4.342998631761069,0.8892637491226196
iTransformer,3,3.413013219833374,6.224150646436127,0.6894727945327759
iTransformer,4,4.069113731384277,7.3334842435163345,0.8218752145767212
DynamicGraph-iTR,1,2.208761215209961,3.2434817752670138,0.9607058763504028
DynamicGraph-iTR,2,1.969195008277893,2.6421665905937783,0.9590144157409668
DynamicGraph-iTR,3,3.4326260089874268,5.581335175175066,0.7503016591072083
DynamicGraph-iTR,4,4.540616035461426,8.500027376018645,0.7606991529464722
Phys-iTR-Curriculum,1,1.843290090560913,2.6854825098820823,0.9730629920959473
Phys-iTR-Curriculum,2,3.8252387046813965,4.8167612605502566,0.8637863397598267
Phys-iTR-Curriculum,3,3.439537763595581,3.8641083760513393,0.8803154826164246
Phys-iTR-Curriculum,4,1.6600816249847412,2.1935120934491485,0.9840638637542725
Phys-iTransformer,1,1.8691354990005493,2.932417835798387,0.9678813815116882
Phys-iTransformer,2,4.602907657623291,5.153926996545234,0.8440493941307068
Phys-iTransformer,3,3.1548409461975098,4.625881008057601,0.8284746408462524
Phys-iTransformer,4,4.239780902862549,7.526905120279999,0.8123552203178406
