Model,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,R2_Mean,R2_Std
SJ-Spiking-MultiStep,1.616983562707901,0.6924073076781201,2.54818205205042,1.2635219207908939,0.9521012008190155,0.04815623849452049
SJ-Spiking-Attention,6.101529002189636,1.3820106244700259,9.548528149454818,2.802931555279347,0.5207262933254242,0.2435336472512857
SJ-Spiking-Hybrid,0.7433111220598221,0.19854897855615367,1.1942844481687547,0.3639163877536839,0.990999162197113,0.008023389098026865
SJ-Spiking-Simple,4.350496292114258,0.6163987555480005,5.8319271786379066,1.1264020235349341,0.8292171061038971,0.054461174499731625
SJ-LSM,3.852400481700897,1.3276120788361268,6.304439756613979,2.805934630167577,0.810741975903511,0.11561039562886874
SJ-Spiking-Dilated,3.6168287992477417,2.7796288731930368,5.042851766799634,3.805007756284634,0.7166047692298889,0.41995954401689667
CNN-1D,2.318231701850891,0.7309136138471009,3.127746254490984,0.9172056171236489,0.954618826508522,0.011897336680368025
LSTM,1.3550152778625488,0.5193874933179761,2.504996570075149,1.280427318966347,0.9678324311971664,0.023569233119200932
CNN-LSTM,1.173190139234066,0.5135234497899555,1.9644172255244026,0.8990588940801469,0.9694717824459076,0.03127806497851961
CNN-DILATED,1.8131912052631378,0.11146256632615656,2.46446946459438,0.5205475159085714,0.9661346524953842,0.019846473528059478
iTransformer,2.804946333169937,1.364228368540341,4.3019079833305485,2.459408548597081,0.9059367477893829,0.08321902809530626
DynamicGraph-iTR,3.175284743309021,1.0882855165187062,5.515647546385723,2.564763270468345,0.8537634611129761,0.08631273545543258
Phys-iTR-Curriculum,2.520804703235626,1.511880567989537,3.831080740790794,2.3845552589762717,0.9135314524173737,0.07503094605034538
Phys-iTransformer,3.1001071333885193,0.6741000507165344,4.920157197452793,1.7035308287971884,0.884620800614357,0.04786795753692273
