Model,MAE,RMSE,R2
SJ-Spiking-MultiStep,3.016756057739258,4.308995246337478,0.12720096111297607
SJ-Spiking-Attention,7.513645648956299,11.323063254906305,-5.026845932006836
SJ-Spiking-Hybrid,5.086161136627197,7.525330555901577,-1.6620328426361084
SJ-Spiking-Simple,3.6311347484588623,4.677396133713159,-0.028420090675354004
SJ-LSM,4.2761616706848145,5.67090104413256,-0.5117025375366211
SJ-Spiking-Dilated,1.209561824798584,1.5031500958986668,0.8937896490097046
CNN-1D,4.269115924835205,6.758109131405206,-1.1469039916992188
LSTM,0.5160770416259766,0.8593119858267095,0.9652892351150513
CNN-LSTM,5.390985012054443,8.270080173385185,-2.2150051593780518
CNN-DILATED,4.340982437133789,5.717061111291722,-0.5364127159118652
iTransformer,5.69676399230957,8.8208812060624,-2.657515525817871
DynamicGraph-iTR,6.481125354766846,9.973335192199098,-3.675661563873291
Phys-iTR-Curriculum,5.8992919921875,9.149370232260397,-2.9349989891052246
Phys-iTransformer,3.6169447898864746,5.133127049021055,-0.23858630657196045
